"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"C1030",-0.632153350632799,-0.202920574611617,-0.240944166280442,-0.193417851638533,-0.953828133794584
"C1131",-2.71972223766928,1.27186079199674,-0.378076592343197,-1.19539167260112,0.874566426924176
"C1133",0.305381898789122,-0.925418620481097,0.150140416491572,0.0605978127327809,-0.216643430695952
"C1171",-0.299411305905603,-0.178807977748869,0.199483813458826,-0.547551320944165,-0.64008784717099
"C1204",-1.23884720693047,-0.510473086758578,0.902718406668328,-1.19008276183713,0.204521567950396
"C1222",2.3403716111121,1.0010517768464,1.50320988535478,-0.064066404479866,-0.326425627183187
"C1229",2.11972884983595,-0.665506094196639,-0.206702371420971,0.582758711025206,-0.853771985267127
"C1238",0.564670511095252,0.198027678480182,-1.10778090087869,0.475772359480949,-2.20283450517702
"C1306",-0.222229645079075,0.976921049011928,-0.654027531156692,0.244089560709751,-0.346399233840902
"C1317",2.54974475058263,-0.843418345849417,1.381850034796,-0.300593215779991,-0.466798486029634
"C1331",2.10924374621986,0.84708830326324,0.100941591910464,0.221086407662,0.320307351151029
"C1336",0.786001819811167,-1.08371426540295,1.46314241305497,-0.610285387688116,-0.139801252494993
"C1366",-0.135031358101137,0.753783284269523,0.324970478431816,-0.245825299109314,-0.106650539263867
"C1453",0.682157601017952,1.13753630420677,1.61763561694712,-0.828092360237953,-0.589110876186474
"C1520",-1.32425338371062,0.717470387431066,0.464803653669877,-0.857186708258812,0.68389009355769
"C1538",0.31674921020619,0.773271612485167,0.30815808939118,-0.268731371935034,-0.622181555541758
"C1539",0.519534683868555,-0.118232086351859,0.28894252912544,-0.246392505867699,0.280040809731491
"C1548",-1.01763953779791,-3.95609886991632,-0.668355130462198,1.11505196657623,1.60318835463678
"C1556",0.665698575278178,-0.172713924380678,0.25258823504827,0.127585777989547,0.588059765905972
"C1564",-0.379079353548266,-1.60578251956287,-0.149811844629544,0.149471257751088,0.18243986746722
"C1768",0.794826409135801,1.5589596456856,0.177747780110922,0.116272363891646,0.3680891867727
"C1782",2.63797056164797,0.516779151534352,-0.314458989200206,0.412042481126543,1.54139333403434
"C1937",-0.384779421907046,-0.00578322200192478,-0.297198469996394,-0.404470835946574,2.09389286013714
"C2002",-3.27908652257246,0.104119291546675,-0.98356685192766,0.179776693573108,0.0022853749559606
"C2158",-1.93869941109669,0.257191723974554,1.12160582471534,-0.567593209151624,-1.66091518178987
"C2188",1.57557053308189,0.345667187095415,0.119798505124823,-0.272980960359509,1.29577114985776
"C2218",0.544323885805234,0.672534446047525,0.14261902080808,-0.496215866595681,-0.710786777315724
"C2226",-3.32961914087945,0.274150584928316,0.621712059220923,-1.12217488400545,1.58765782084651
"C2249",0.525195698000802,0.335090562435333,-1.05397037335028,0.18046256075041,0.612549693930617
"C2259",0.862168699130218,-0.846728909607928,0.156191668264681,-0.12226968914396,0.215266023159398
"C2275",0.330641735993813,1.26358401508556,0.170595014248365,-0.251311547806424,0.781888025320014
"C2284",0.409668023942517,-0.740053218199916,0.630242272165434,-0.524486490461912,0.658040951286418
"C2289",0.941210948335374,1.24994893171907,0.0110663373368353,-0.436712997487981,0.593786143330372
"C2296",-0.735723486498134,1.99145798700063,-1.01149262949982,-0.561553708374914,-0.269315012194566
"C2310",0.485263180602303,0.43474056572141,-2.23269124931001,0.988981711410892,1.34884100633279
"C2312",0.136545893049876,-0.235476867863881,-0.919863368629602,0.137831620981426,-0.148871115200045
"C2318",-2.12535441943538,-1.00498893850636,-0.0617447305406501,0.49879582741448,1.31644221592041
"C2319",0.386972681805358,-0.652708171358802,0.652397623648956,0.164509943255326,0.0655442500547657
"C572",-0.167810658174949,-0.421560496579023,0.870105000699147,0.685105385894219,-0.76978774871457
"C578",0.932381291963102,-1.67961896298248,-1.55773735344312,1.14378516080659,1.61017645634497
"C615",-0.660573456636595,-0.540983180649306,-0.784426802462977,-0.218040618410906,-0.604094169050697
"C624",-1.05309869007077,-4.58222717779958,1.21689428520084,-0.479170097828727,-1.43378087944193
"C628",1.44316475432324,-1.22050275821999,-1.15678208734689,0.645177895516614,-0.55016075259183
"C636",-0.00632425386005108,0.869328331454216,0.0283194432943737,-0.84304344787849,-1.63280918235082
"C668",-0.688559366836335,2.37616564547691,-1.16921925333957,-0.595056348356042,-0.918888263391845
"C726",0.918090800599555,0.432835842346862,0.754241375080533,-0.126369360511126,-1.33207489465844
"C756",0.62992383811827,-0.0438375607170375,-2.22418560071658,1.07247533679377,0.100000078558099
"C772",0.538598252255746,0.91768277573764,0.934096199771706,-0.640013046158518,0.402420594681566
"C791",2.85513388340541,0.0875378428960645,0.72681149569953,-0.236611006830437,-0.508677437399214
"C820",0.342898820570717,-0.589563498519016,-1.56032839275457,0.645824349217396,-0.686769185781553
"C841",-2.12488524099156,-0.0657053023557924,0.304935227982055,-0.853135489928496,0.869975230668427
"C842",0.906607014567823,-0.940507660200565,0.422786590427115,0.0965451178521275,0.804038634510694
"C877",-0.362681773143908,1.08392260316019,-1.0066566165949,0.113179041282693,-0.305548456519942
"C904",1.03584984404414,0.679081727766141,0.595594195177079,-0.45649696544289,0.505352334751781
"C947",1.62990069188589,-0.96020090238438,0.57734196375992,0.477237467088666,-0.940446921255478
"M1044",0.670400998621987,0.902267701922776,1.28170788063484,-0.646194233042923,0.275902358406541
"M1078",-0.38489068318728,-0.642518524682186,-0.451307072525461,-0.359039193410611,1.65002956694099
"M1104",1.17701039570729,0.419919846239031,0.102356170218142,-0.310502351686743,0.358352985699955
"M1116",0.38677534859042,1.0314536774872,-0.717450645647946,0.138452103669993,-1.20157993499625
"M1120",-0.3385778778408,-0.539723972200552,-0.526612171717902,-0.103286882145234,0.121938275814432
"M1145",-2.96779980723515,0.827254540806612,0.752437377400789,-1.01249620016369,0.641759264936571
"M1147",-1.11224265981535,0.913341072437618,-0.326056504642505,-0.436289764512662,-1.14325268093217
"M1176",-1.44191841128111,-1.36521161125494,-0.266426392803079,-0.141172832179581,0.265013212537251
"M1202",1.36730426931841,0.828473420572252,0.341263457328703,0.0371300181759284,1.43632627493163
"M1223",1.16570228196282,-0.909164354331433,1.95047007511939,-0.526617530332131,0.189003555524174
"M1239",1.5611638661004,-0.0545018597534376,-2.00997033293895,1.1471329727065,-1.75088607969172
"M1272",-0.00138431688445675,0.251811565790427,0.042356506319681,0.363425225935859,1.285468773655
"M1294",0.727417495721177,0.932303496988424,-0.450824445011082,-0.479411133697113,-0.0891075075932066
"M1309",1.01977976531361,-1.05818550581042,-0.311382605249779,0.308918644176333,-1.11551287135844
"M1322",0.618573204839695,0.2141848630852,0.401639248715366,-0.725770314737839,-0.788155523106889
"M1344",0.608642741855645,-0.380453756615479,0.422638466093678,0.371963765922538,-0.515712607772124
"M1361",0.198270814900293,-0.307755416202605,-0.697927064680081,0.46492292524473,-0.871059207928
"M1380",0.616796474611745,0.184890756557102,-1.64581726190518,0.655260719467241,-0.115154524706767
"M1518",0.753491772603475,0.393506942072954,-0.379631852919685,0.624786664541265,0.187601458790258
"M1558",-1.48577790612801,0.158307298449838,0.0370822258830866,-1.01536236531156,-0.840311406097943
"M1605",2.28988975023348,-0.112251759221292,1.30259109676966,-0.523000325894315,1.93192922771564
"M1680",2.60877127987844,0.110912286407398,1.5537831477473,-0.33584741341628,1.2841534586196
"M1682",-2.26443527143329,-0.392100296354799,0.295205099843006,3.8696030176622,-0.724136498693905
"M1689",1.50900758611699,0.473563896894218,-0.36046762075553,0.399722257285248,-1.80498421882171
"M1787",0.26661272479166,-1.21033945205926,-2.02563302879924,0.768468877374629,-0.77019323754416
"M1794",-0.0650221783075568,1.2522905314696,0.0759943487293092,-0.929021347870263,-1.36730158132917
"M1843",-0.427323539709391,1.40059612013456,-0.703036690853671,-0.145356183064953,-0.135125692251998
"M1860",-0.15984602832171,0.964365545087232,-0.499334118737264,-0.203618698898757,0.283215079965051
"M1884",0.106744704023774,-1.20782491865268,-0.827799467178635,0.883270839958911,-0.378546178653142
"M1986",-0.267917522861244,0.219191774248983,0.200812586791146,-0.277570275566548,1.36847642238625
"M199",0.562872356551778,-0.594961793414083,0.49305314640559,0.272531643377887,0.43968089846695
"M2050",2.51766421294847,0.092775976994034,-0.169867342018754,0.331144481613721,0.855142213089061
"M2058",1.92684705377881,-1.29276048418596,0.0646385298920789,-0.0918021264985286,1.34088046676499
"M2105",-0.0692810865379525,0.951673106424139,-0.0769504554675006,-0.578511312195308,-0.802459581633238
"M2126",-0.394266737463964,-0.174349901302394,-0.476911442233324,0.124191664880489,-0.45999430566525
"M2178",-0.136593009285716,0.536120726916495,-0.92836706600892,-0.169506283283174,0.845079115302559
"M2195",0.204040734892739,1.16176594911251,-0.530501238128927,-0.472324053098415,0.692703594521548
"M2220",-1.28191454715948,-0.501264372455738,-1.40418482585348,0.347133143556278,1.6473105712151
"M2253",-1.47381431378215,-0.56204276324991,-0.849371480499059,-0.0897094821523569,1.99832963613791
"M2258",-1.51769721699694,0.461677864687354,0.114730398605956,-0.990540020920227,-0.739653701978953
"M37",0.0765723002463652,-0.131936059936686,2.79798455598362,-1.13829107360543,-1.04185698961444
"M393",-2.58119279709445,-2.09313307454655,-1.80373352526679,0.415056108538998,-0.199824354641835
"M489",-2.02899201162917,0.316061499084189,0.389924040049192,0.0875661467473344,-0.506861201799864
"M516",-1.59618281052444,0.7998189664119,-0.270932956204648,-0.816804782766563,-0.0680830249448894
"M538",0.696273287443177,0.294358064724949,0.100343518274314,-0.0402988528738236,-0.521173597387803
"M539",-0.367851597228401,0.481937866296067,-0.280361184187178,-0.508864293048685,-0.457452028346182
"M637",1.10650425534532,0.176127770621451,1.00468415356426,-0.0106990908238045,0.456644407040662
"M759",0.578426659903679,-0.334086749739168,0.577252935657992,0.821784919066308,-0.183142279319379
"M796",-0.322750305885867,0.316694212017262,-2.19324489894992,1.02129360793556,-0.671757278049259
"M803",-1.02686334059556,-0.47350338381748,-1.06147243942606,0.593689588863343,-0.69033569227361
"M881",-1.0951532079952,-0.0974797980915144,0.519347941721022,-0.661754292514216,0.233366134994576
"M908",-2.9360706667151,2.93290274514078,4.34969901367656,7.84812268945238,0.406434665885742
"M913",-1.09272109864603,-4.52796603863175,2.97888079970999,-0.349653030694775,-1.21113119814314
"M962",-4.40579422368008,0.526658221909919,1.2477781743427,-2.08366784718179,0.109211839934978
"M996",-1.07390864067934,0.102050683121231,-0.606744505667184,-0.501681818291416,-0.712174626478476
